Ticker,"Company Name","Annual Div","Div Yield"
MMM,"3M Company","5.76","2.7"
ABBV,AbbVie,"4.28","5.2"
ACCO,"ACCO Brands","0.24","2.8"
ACU,"Acme United","0.48","2.6"
GOLF,"Acushnet Holdings Corp","0.56","2.5"
ADTN,ADTRAN,"0.36","2.6"
ADES,"Advanced Emissions Solutions","1.00","8.4"
AES,"AES Corp","0.55","3.0"
MITT,"AG Mortgage Investment Trust","2.00","11.8"
APD,"Air Products & Chemicals","4.64","2.4"
AYR,"Aircastle Limited","1.20","5.8"
ALK,"Alaska Air Group","1.40","2.4"
ABDC,"Alcentra Capital ","0.72","9.5"
ALE,ALLETE,"2.35","2.9"
ARLP,"Alliance Resource Partners","2.10","11.1"
LNT,"Alliant Energy","1.42","3.1"
MO,"Altria Group","3.20","5.9"
AEE,"Ameren Corp","1.90","2.7"
AEO,"American Eagle Outfitters","0.55","2.4"
AEP,"American Electric Power Company","2.68","3.2"
AIG,"American International Group","1.28","2.9"
AMNB,"American National BankShares","1.00","2.9"
APU,"AmeriGas Partners","3.80","10.8"
AMP,"Ameriprise Financial","3.60","2.6"
AMGN,Amgen,"5.80","3.0"
APC,"Anadarko Petroleum","1.20","2.7"
ANDX,"Andeavor Logistics LP","4.12","11.8"
ANH,"Anworth Mortgage Asset  ","0.52","12.6"
ARI,"Apollo Commercial Real Est. Finance","1.84","10.0"
AINV,"Apollo Investment","1.80","11.8"
APLE,"Apple Hospitality REIT","1.20","7.2"
WTR,"Aqua America","0.88","2.4"
ABR,"Arbor Realty Trust","1.08","8.0"
ADM,"Archer Daniels Midland Co","1.40","3.3"
AROC,Archrock,"0.53","5.3"
ARCC,"Ares Capital","1.60","9.2"
ACRE,"Ares Commercial Real Estate Corp","1.32","8.6"
ARES,"Ares Management Corp","1.33","5.6"
AHH,"Armada Hoffler Properties","0.84","5.3"
AROW,"Arrow Financial","1.04","3.1"
APAM,"Artisan Partners Asset Management","2.24","8.7"
AHT,"Ashford Hospitality Trust","0.48","9.1"
ASB,"Associated Banc Corp","0.68","3.1"
AIZ,Assurant,"2.40","2.5"
T,AT&T,"2.04","6.4"
AY,"Atlantica Yield PLC","1.48","7.5"
ALV,Autoliv,"2.48","3.1"
AVB,"AvalonBay Communities","6.08","3.0"
AVA,"Avista Corp","1.55","3.8"
AVX,"AVX Corporation","0.46","2.5"
EQH,"AXA Equitable Holdings","0.52","2.4"
AXS,"Axis Capital Holdings Limited","1.60","2.9"
BCSF,"Bain Capital Specialty Finance","1.64","8.2"
BBD,"Banco Bradesco SA ","0.25","2.7"
BLX,"Banco Latinoamericano de Comerci Extr SA","1.54","7.6"
BSMX,"Banco Santander Mexico Sa Instcn De","0.35","4.9"
CIB,"Bancolombia SA ","1.33","2.5"
BOH,"Bank of Hawaii","2.48","3.1"
BMO,"Bank of Montreal ","3.04","4.0"
NTB,"Bank of N.T. Butterfield & Son Ltd","1.76","4.8"
BNS,"Bank of Nova Scotia","2.49","4.7"
OZK,"Bank Ozk","0.92","3.0"
BFIN,BankFinancial,"0.40","2.7"
BKU,BankUnited,"0.84","2.4"
BANR,Banner,"1.64","2.9"
BBDC,"Barings BDC","0.48","4.9"
BKS,"Barnes & Noble","0.60","10.7"
BSET,"Bassett Furniture Industries","0.50","2.9"
BBT,"BB&T Corporation","1.62","3.3"
BCBP,"BCB Bancorp","0.56","4.3"
BCE,"BCE.  ","2.38","5.3"
BBGI,"Beasley Broadcast Group","0.20","5.1"
BHLB,"Berkshire Hills Bancorp","0.88","3.1"
BRY,"Berry Petroleum Corp","0.48","4.0"
BBY,"Best Buy Co","2.00","2.7"
BGSF,"BG Staffing","1.20","5.5"
BGFV,"Big 5 Sporting Goods","0.20","6.3"
BKH,"Black Hills Corp","2.02","2.8"
BLK,BlackRock,"13.20","3.0"
BKCC,"Blackrock Capital Investment ","0.72","11.9"
TCPC,"BlackRock TCP Capital ","1.44","10.0"
BX,"Blackstone Group LP","2.42","7.0"
BXMT,"Blackstone Mortgage Trust","2.48","7.2"
BCRH,"Blue Capital Reinsurance Holdings Ltd","0.60","8.5"
BPFH,"Boston Private Financial Hldg","0.48","4.2"
BXP,"Boston Properties","3.80","2.8"
BPMP,"BP Midstream Partners LP","1.21","8.1"
BDGE,"Bridge Bancorp","0.92","3.0"
BGG,"Briggs & Stratton","0.56","4.5"
BMY,"Bristol-Myers Squibb Co","1.64","3.5"
AVGO,Broadcom,"10.60","3.5"
BIP,"Brookfield Infrastructure Partners","2.01","4.8"
BPY,"Brookfield Property Partners LP","1.32","6.3"
BRKL,"Brookline Bancorp","0.42","2.9"
BMTC,"Bryn Mawr Bank","1.00","2.7"
BPL,"Buckeye Partners","3.00","8.8"
BKE,Buckle,"1.00","5.2"
BG,"Bunge Ltd","2.00","3.8"
CBT,"Cabot Corp","1.32","3.0"
CADE,"Cadence Bancorp","0.70","3.5"
CSTE,"Caesarstone Ltd","0.60","3.8"
CAC,"Camden National","1.20","2.8"
CPT,"Camden Property Trust","3.20","3.1"
CPB,"Campbell Soup Company","1.40","3.7"
CM,"Canadian Imperial Bank of Commerce ","4.18","5.1"
CNQ,"Canadian Natural Resources Ltd ","1.12","4.1"
CPLP,"Capital Product Partners","1.26","11.2"
CSWC,"Capital Southwest","1.52","7.1"
CFFN,"Capitol Federal Financial","0.34","2.5"
CMO,"Capstead Mortgage","0.32","3.7"
CAH,"Cardinal Health","1.91","4.1"
CTRE,"Caretrust REIT","0.90","3.9"
CG,"Carlyle Group LP","1.24","6.7"
CCL,"Carnival Corp","2.00","3.8"
CAT,Caterpillar,"3.44","2.5"
CATY,"Cathay General Bancorp","1.24","3.5"
CBFV,"CB Financial Services","0.96","4.1"
FUN,"Cedar Fair","3.70","7.1"
